gene_id,symbol,SK-OV-3,SK-MEL-5,SK-MEL-28,SF539,SF295,SF268,RPMI-8226,PC-3,OVCAR-8,OVCAR-4,T47D,OVCAR-3,UACC-62,UACC-257,U251,U031,NCI-H522,NCI-H322M,EKVX,DU-145,BT-549,ACHN,A498,HOP-62,HOP-92,Hs-578-T,HT-29,NCI-H23,NCI-H226,NCI-H460,MDA-MB-231,MCF7,LOXIMVI,KM12,IGROV-1,MDA-MB-468,HCT-116,HCT-15,K-562,HL-60,SW620,A549,CAKI-1
SIDG00150,ABL1,0,0,-1,1,0,-1,1,0,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,0,1,-1,0,-1,-1,-1,-1,-1,0,1,0,-1,1,0,0,0,-1,0,1,0,-1,-1,-1
SIDG00151,ABL2,0,0,0,1,0,1,1,-2,-1,2,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
SIDG00167,ACACA,0,0,0,0,1,1,0,-1,-1,-1,1,-1,0,0,1,-1,1,-1,-1,0,-1,1,1,0,0,-1,1,0,0,1,0,-1,1,0,0,-1,0,0,0,0,0,1,0
SIDG00168,ACACB,0,1,0,0,0,-1,0,1,1,-1,1,0,0,2,0,1,-1,-1,-1,0,-1,1,-1,-1,0,-1,0,1,0,1,0,1,1,1,0,-1,0,0,0,0,0,0,1
SIDG00224,ACOX1,0,1,0,-1,1,1,0,1,1,-1,1,0,0,-1,1,-1,1,-1,1,0,-1,1,1,1,1,-1,-1,0,0,1,0,-1,1,-1,0,1,1,0,0,0,1,1,1
SIDG00226,ACOX3,-1,-1,-1,1,0,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,-1,1,-1,0,-1,-1,-1,0,-1,-1,-1,1,-1,-2,-1,-1,1,0,-1,-1,-1,0,0,0,-1,-1,1
SIDG00239,ACSBG1,0,0,0,1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,0,-1,0,0,-1,-1,-1,1,0,1,1,-1,1,-1,0,0,-1,-1,0,0,0,0,1,-1
SIDG00240,ACSBG2,0,-1,0,-1,1,0,0,1,1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,0,-1,0,-1,0,-1,-1,0,0,0,-1,-1,1
SIDG00243,ACSL1,-1,1,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-2,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,-2,0,0,0,0,-1,0
SIDG00244,ACSL3,0,0,1,-1,0,1,-1,0,-1,-1,-1,0,1,1,0,-1,1,1,0,-1,-1,1,-1,1,0,1,0,0,0,1,-1,-1,1,0,0,-1,0,0,-1,0,0,0,0
SIDG00246,ACSL5,0,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,1,-1,-1,0,-1,1,1,0,0,-2,1,0,-1,0,-1,0,0,-1,1,0,-1,0,-1,0,-1,2,0,-1,0,0,0,0
SIDG00247,ACSL6,-1,0,0,1,1,-1,0,-1,0,1,0,1,-1,-1,1,-1,1,0,-1,-1,1,0,1,1,0,-1,0,1,0,1,0,1,1,0,0,0,-1,0,0,-1,0,0,1
SIDG00260,ACTA2,-1,-1,-1,-2,-1,-1,-1,-1,0,0,1,1,-1,-1,0,-1,1,0,0,0,0,1,-1,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,1
SIDG00262,ACTB,-1,1,0,1,1,1,1,1,1,-1,1,-1,1,0,2,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0
SIDG00279,ACTG1,2,2,0,1,1,1,0,1,-1,1,1,-1,0,-1,1,-1,1,-1,1,0,-1,1,0,1,1,-1,-1,0,0,1,0,-1,1,-1,0,-1,1,0,0,0,1,1,1
SIDG00344,ACVR1,0,-1,-1,1,0,-1,0,0,1,0,-1,0,1,0,0,0,1,0,0,-1,-1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
SIDG00345,ACVR1B,0,0,-1,-1,0,0,0,1,-1,0,1,0,0,-1,-1,1,-1,0,-1,0,-1,1,-1,-1,0,-1,0,1,1,1,-1,1,1,0,0,-1,-1,0,0,0,1,0,1
SIDG00346,ACVR1C,0,-1,-1,1,0,-1,0,0,1,0,-1,0,1,1,0,0,1,0,0,-1,-1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
SIDG00347,ACVR2A,0,-1,-1,1,0,-1,1,0,1,0,-1,0,1,1,0,0,1,1,0,-1,-1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
SIDG00348,ACVR2B,-1,1,0,0,0,1,0,1,1,2,0,0,-1,-1,0,1,0,-1,-1,-1,0,0,-1,0,0,1,-1,-1,0,-1,0,-1,0,0,-1,-1,0,0,1,0,0,0,-1
SIDG00378,ADAM17,-1,1,1,1,0,-1,0,0,-1,-1,-1,1,1,0,0,-1,1,1,-1,0,-1,1,1,1,0,1,0,1,0,1,-1,-1,1,0,0,1,0,0,0,0,0,1,0
SIDG00440,ADCY1,-1,1,0,1,1,1,1,1,-1,2,1,-1,2,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,2,0,1
SIDG00442,ADCY3,-1,1,1,1,0,1,0,0,-1,0,-1,1,1,0,0,-1,1,1,-1,0,-1,1,1,1,0,1,0,1,0,1,-1,-1,1,0,0,1,0,0,0,0,1,1,0
SIDG00443,ADCY4,0,-1,-1,0,-1,-1,-1,1,1,-1,-1,0,0,-1,-1,-1,-1,1,-1,-1,-1,0,-1,0,1,-1,-1,1,0,1,0,-1,0,0,0,-1,0,0,-1,0,0,-1,-1
SIDG00444,ADCY5,0,0,1,1,0,-1,0,1,1,1,0,1,1,0,0,1,-1,-1,-1,-1,0,0,-1,0,0,1,1,1,-1,-1,-1,-1,0,0,-1,0,0,0,-1,0,0,0,1
SIDG00445,ADCY6,2,0,-1,-1,0,0,0,1,-1,0,1,0,0,0,-1,1,0,0,-1,0,-1,1,-1,-1,0,-1,0,1,1,1,-1,1,1,0,0,-1,-1,0,0,0,1,0,1
SIDG00446,ADCY7,1,-1,-1,-2,1,-1,1,0,1,2,-1,-1,-1,-1,0,1,0,1,-1,0,-1,1,0,1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,1,0,0,0,0,1,0,1
SIDG00448,ADCY9,0,-1,1,-1,1,-1,1,0,1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,0,-1,0,0,0,0,-1,-1,-1
SIDG00449,ADCY10,0,0,0,1,0,1,1,1,-1,1,1,0,1,0,1,-1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1
SIDG00513,ADIPOR1,-1,0,0,1,0,1,1,0,-1,1,1,-1,0,-1,1,-1,1,1,2,0,1,1,1,-1,1,0,-1,0,-1,1,0,2,0,-1,0,1,-1,0,1,0,-1,0,1
SIDG00516,ADIPOR2,-1,0,-1,0,0,1,0,-1,1,0,0,-1,0,-1,0,1,-1,1,0,-1,0,1,-1,1,-1,-1,0,1,0,1,-1,-1,1,0,0,-1,0,0,-1,0,1,0,1
SIDG00527,ADORA1,-1,0,0,1,0,1,1,0,-1,1,1,-1,0,-1,1,-1,1,1,2,0,1,1,1,-1,1,0,-1,0,-1,1,0,2,0,-1,0,1,-1,0,1,0,-1,0,1
SIDG00528,ADORA2A,0,1,1,0,1,-1,0,-1,-1,1,-1,1,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,-1,0,-1,-1,-1
SIDG00530,ADORA2B,-1,0,0,0,0,1,-1,-1,-1,-1,-1,1,1,-1,1,0,0,1,0,-2,1,1,1,1,-1,1,-1,-1,-1,1,0,-1,1,0,0,-1,0,0,-1,-1,0,1,-1
SIDG00542,ADRA1B,0,-1,1,1,1,1,0,1,1,2,1,1,-1,-1,1,-1,1,0,0,0,1,0,1,1,0,-1,0,1,0,1,0,1,1,0,0,1,-1,0,0,0,0,0,1
SIDG00543,ADRA1D,0,1,1,0,0,1,0,1,1,0,0,-1,0,1,0,1,-1,-1,1,-1,0,0,-1,1,-1,1,0,0,-1,1,0,-1,1,0,1,1,-2,0,-1,0,1,1,-1
SIDG00544,ADRA2A,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,0,-1,1,1,0,0,-2,1,0,-1,0,-1,0,0,-1,1,0,-1,0,0,0,-1,1,0,-1,0,0,0,0
SIDG00545,ADRA2B,0,-1,1,1,0,1,0,0,1,0,-1,0,0,0,-1,-1,1,0,0,-1,-1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
SIDG00546,ADRA2C,-1,-1,-1,1,0,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,1,-1,0,-1,-1,-1,0,-1,-1,-1,1,-1,-2,-1,-1,1,0,-1,-1,-1,0,0,0,-1,-1,1
SIDG00547,ADRB1,0,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,1,-1,-1,0,-1,1,1,0,0,-2,1,1,-1,0,-1,0,-1,-1,1,0,0,-1,0,0,-1,2,0,-1,0,0,0,0
SIDG00548,ADRB2,0,-1,1,1,1,1,0,2,1,2,1,1,-1,0,1,-1,1,0,0,0,1,0,1,1,0,-1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
SIDG00581,AFP,0,-1,-1,-1,0,-1,-1,1,1,-1,-1,0,-1,-1,0,0,0,0,1,-1,-1,0,-1,0,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,0,0,0,0,0,-1,0
SIDG00586,AGAP2,0,0,-1,-1,0,0,0,1,1,0,1,1,0,-1,-1,1,-1,1,-1,0,-1,1,-1,0,0,-1,0,1,1,1,-1,0,1,0,0,-1,-1,0,0,0,0,0,1
SIDG00608,AGER,0,-1,-1,1,0,1,0,0,1,1,0,-1,-1,-1,-1,-2,1,-1,-2,0,1,-1,-1,1,-1,1,-1,0,-1,-1,1,1,1,-1,-1,1,-2,0,1,0,0,-1,-1
SIDG00646,AGTR1,1,1,1,1,0,-1,2,0,-1,0,1,2,1,1,0,1,1,0,-1,1,0,0,0,0,1,1,1,1,0,0,-1,1,0,0,-1,0,0,0,0,0,0,0,1
SIDG00682,AIFM2,0,-1,-1,-1,-1,-1,-1,1,0,1,-1,0,-1,-2,-1,-1,1,-1,-1,0,0,1,0,1,1,-1,-1,0,-1,1,0,-1,-1,0,0,0,-1,0,1,0,1,0,1
SIDG00687,AIM2,0,0,0,1,0,1,1,0,-1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,-1,1,0,0,1,0,0,0,0,0,0,1
SIDG00701,AJUBA,0,-1,-1,0,-1,-1,-1,1,1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,0,-1,0,1,-1,-1,1,0,1,0,-1,0,0,0,-1,0,0,0,0,0,0,-1
SIDG00784,AKT1,2,1,-1,1,1,2,-2,2,1,2,2,2,2,2,1,2,2,2,2,2,-1,1,-1,1,-1,1,-1,1,1,2,0,2,2,2,1,1,2,2,-1,2,1,1,-1
SIDG00785,AKT1S1,0,-1,1,1,1,-1,0,1,-1,1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,1,-1,-1,-1,0,-1,0,-1,0,0,-1,0,0,0,-1,1,-1
