Drug A,Drug B,Cell Line Name,Score
Paclitaxel,Sirolimus,NCI-H460,13.222222222222221
Quinacrine hydrochloride,Tamoxifen citrate,OVCAR-8,-2.7777777777777777
Sirolimus,Tamoxifen citrate,DU-145,-5.666666666666668
Mitotane,Docetaxel,MALME-3M,12.0
Mitotane,Nilotinib,HOP-92,-8.777777777777779
Vorinostat,Celecoxib,SK-MEL-5,-7.777777777777778
Mitotane,Docetaxel,EKVX,-4.5555555555555545
Dasatinib,Romidepsin,HT29,1.1111111111111112
Dasatinib,Sirolimus,NCI-H460,-0.5555555555555556
Everolimus,Celecoxib,U251,-6.5555555555555545
Sorafenib tosylate,Docetaxel,UACC-62,18.777777777777786
Dasatinib,Imatinib mesylate,NCI-H460,-6.888888888888888
Quinacrine hydrochloride,Paclitaxel,HS 578T,-3.111111111111111
Everolimus,Tamoxifen citrate,A498,5.333333333333333
Quinacrine hydrochloride,Tretinoin,KM12,-6.888888888888888
Sorafenib tosylate,Dasatinib,SF-539,-4.2222222222222205
Gefitinib,Lenalidomide,HOP-62,0.7777777777777778
Sirolimus,Vinblastine sulfate (hydrate),KM12,-2.7777777777777777
Thalidomide,Tamoxifen citrate,OVCAR-3,-3.111111111111111
Thalidomide,Paclitaxel,UACC-257,-4.4444444444444455
Dasatinib,Tretinoin,T-47D,-1.8888888888888888
Vinblastine sulfate (hydrate),Romidepsin,BT-549,-3.555555555555556
Thalidomide,Mitotane,SF-295,-0.8888888888888888
Nilotinib,Celecoxib,U251,-7.0
Sirolimus,Tretinoin,HS 578T,7.1111111111111125
Mitotane,Tamoxifen citrate,HCT-116,0.5555555555555556
Everolimus,Paclitaxel,HCT-116,2.7777777777777777
Romidepsin,Docetaxel,DU-145,-6.1111111111111125
Fulvestrant,Romidepsin,NCI-H322M,2.6666666666666665
Everolimus,Vorinostat,UACC-62,0.3333333333333333
Romidepsin,Cladribine,RPMI-8226,-6.888888888888888
Quinacrine hydrochloride,Cladribine,PC-3,-3.555555555555556
Docetaxel,Tretinoin,NCI-H226,11.888888888888893
Tamoxifen citrate,Tretinoin,RPMI-8226,-0.2222222222222222
Quinacrine hydrochloride,Docetaxel,SW-620,2.555555555555556
Sorafenib tosylate,Tamoxifen citrate,HCT-116,-3.111111111111111
Vinblastine sulfate (hydrate),Nilotinib,UO-31,-3.555555555555556
Sorafenib tosylate,Tretinoin,SF-268,6.777777777777778
Vinblastine sulfate (hydrate),Tretinoin,SF-295,-1.0
