Drug A,Drug B,Cell Line Name,Score
Fulvestrant,Dasatinib,EKVX,-2.1111111111111107
Fulvestrant,Celecoxib,SF-295,-6.5555555555555545
Romidepsin,Paclitaxel,UACC-257,3.111111111111111
Romidepsin,Celecoxib,MDA-MB-468,2.4444444444444446
Thalidomide,Cladribine,KM12,-15.333333333333336
Vinblastine sulfate (hydrate),Cladribine,BT-549,1.2222222222222223
Everolimus,Imatinib mesylate,HCT-116,-12.555555555555555
Mitotane,Everolimus,ACHN,2.1111111111111107
Vinblastine sulfate (hydrate),Paclitaxel,A549/ATCC,-4.5555555555555545
Fulvestrant,Nilotinib,SF-539,1.2222222222222223
Sorafenib tosylate,Vorinostat,DU-145,2.0
Everolimus,Paclitaxel,HS 578T,8.0
Fulvestrant,Everolimus,A498,17.11111111111111
Mitotane,Celecoxib,EKVX,-6.333333333333332
Thalidomide,Docetaxel,SF-268,2.2222222222222223
Nilotinib,Tamoxifen citrate,SK-OV-3,-6.4444444444444455
Vinblastine sulfate (hydrate),Nilotinib,U251,-2.0
Sirolimus,Imatinib mesylate,SF-539,-1.7777777777777777
Everolimus,Nilotinib,OVCAR-4,-2.4444444444444446
Docetaxel,Cladribine,A498,-2.555555555555556
Paclitaxel,Tamoxifen citrate,SW-620,15.777777777777779
Everolimus,Celecoxib,MCF7,1.2222222222222223
Everolimus,Paclitaxel,U251,3.111111111111111
Romidepsin,Cladribine,HS 578T,5.222222222222221
Mitotane,Sirolimus,MDA-MB-468,-5.333333333333333
Quinacrine hydrochloride,Vinblastine sulfate (hydrate),SF-539,-3.0
Docetaxel,Nilotinib,SK-MEL-5,-5.666666666666668
Sorafenib tosylate,Dasatinib,OVCAR-4,-2.1111111111111107
Tretinoin,Cladribine,PC-3,-4.4444444444444455
Fulvestrant,Dasatinib,NCI-H460,-3.333333333333333
Gefitinib,Lenalidomide,SF-539,-6.1111111111111125
Dasatinib,Nilotinib,NCI-H226,-1.4444444444444444
Vinblastine sulfate (hydrate),Paclitaxel,SK-MEL-28,0.4444444444444444
Romidepsin,Docetaxel,NCI-H226,-2.1111111111111107
Imatinib mesylate,Cladribine,HOP-62,-7.4444444444444455
Mitotane,Nilotinib,EKVX,-5.0
Sorafenib tosylate,Romidepsin,PC-3,-3.111111111111111
Nilotinib,Imatinib mesylate,RPMI-8226,-13.444444444444445
Tamoxifen citrate,Celecoxib,NCI-H460,-6.4444444444444455
Sorafenib tosylate,Everolimus,UACC-62,-12.555555555555555
Paclitaxel,Celecoxib,MDA-MB-468,27.88888888888889
Mitotane,Tretinoin,HOP-62,-11.444444444444445
Docetaxel,Celecoxib,KM12,17.555555555555557
Gefitinib,Lenalidomide,SW-620,6.0
Imatinib mesylate,Celecoxib,NCI-H226,-13.444444444444445
Everolimus,Sirolimus,UACC-257,-5.111111111111111
Mitotane,Tretinoin,A498,-0.8888888888888888
Vinblastine sulfate (hydrate),Celecoxib,NCI-H23,2.333333333333333
Vorinostat,Romidepsin,HCT-116,8.777777777777779
Fulvestrant,Tamoxifen citrate,UACC-257,0.3333333333333333
Vinblastine sulfate (hydrate),Everolimus,UO-31,-1.2222222222222223
Docetaxel,Imatinib mesylate,OVCAR-8,20.22222222222221
Sirolimus,Tretinoin,NCI-H226,0.1111111111111111
Sirolimus,Tretinoin,LOX IMVI,-1.8888888888888888
Thalidomide,Cladribine,BT-549,-7.222222222222222
Docetaxel,Sirolimus,UACC-62,3.7777777777777777
Vorinostat,Docetaxel,A498,-2.6666666666666665
Tretinoin,Cladribine,UACC-62,6.1111111111111125
Mitotane,Paclitaxel,NCI-H522,-3.333333333333333
Nilotinib,Tamoxifen citrate,SF-539,-10.111111111111107
Sorafenib tosylate,Nilotinib,SK-MEL-28,-13.0
Docetaxel,Sirolimus,SK-MEL-28,-1.6666666666666667
Sirolimus,Celecoxib,SW-620,-0.1111111111111111
Fulvestrant,Everolimus,A549/ATCC,25.66666666666667
Paclitaxel,Cladribine,NCI-H322M,-35.444444444444436
Fulvestrant,Dasatinib,SF-295,4.4444444444444455
Everolimus,Imatinib mesylate,MCF7,-5.777777777777778
Vinblastine sulfate (hydrate),Paclitaxel,UACC-257,-1.5555555555555556
Vinblastine sulfate (hydrate),Sirolimus,BT-549,-0.1111111111111111
Quinacrine hydrochloride,Tretinoin,IGROV1,-4.777777777777779
Vorinostat,Imatinib mesylate,A549/ATCC,-13.222222222222221
Thalidomide,Tamoxifen citrate,SF-268,-5.333333333333333
Dasatinib,Nilotinib,UACC-257,-7.222222222222222
Paclitaxel,Sirolimus,KM12,11.888888888888893
Fulvestrant,Dasatinib,SK-MEL-5,-4.666666666666667
Fulvestrant,Vorinostat,NCI-H460,-0.7777777777777778
Sorafenib tosylate,Romidepsin,HOP-62,-10.444444444444443
Thalidomide,Mitotane,NCI-H322M,-0.8888888888888888
Docetaxel,Paclitaxel,HCT-116,-4.111111111111111
Quinacrine hydrochloride,Paclitaxel,PC-3,-1.3333333333333333
Romidepsin,Docetaxel,MDA-MB-231/ATCC,-1.6666666666666667
Fulvestrant,Nilotinib,IGROV1,0.1111111111111111
Vorinostat,Tretinoin,BT-549,-5.333333333333333
Sirolimus,Tamoxifen citrate,HS 578T,-2.555555555555556
Romidepsin,Nilotinib,KM12,-7.888888888888887
Vinblastine sulfate (hydrate),Celecoxib,OVCAR-4,-3.888888888888889
Mitotane,Imatinib mesylate,DU-145,-5.0
Quinacrine hydrochloride,Tretinoin,SF-539,3.4444444444444446
Thalidomide,Sirolimus,UACC-257,-5.666666666666668
Mitotane,Sirolimus,A549/ATCC,-2.4444444444444446
Sirolimus,Mitotane,SK-OV-3,6.777777777777778
Nilotinib,Cladribine,OVCAR-4,3.0
Everolimus,Sirolimus,OVCAR-3,9.555555555555557
Docetaxel,Vinblastine sulfate (hydrate),MDA-MB-231/ATCC,-4.5555555555555545
Sirolimus,Cladribine,LOX IMVI,-6.666666666666668
Vinblastine sulfate (hydrate),Sirolimus,OVCAR-4,-2.333333333333333
Vinblastine sulfate (hydrate),Romidepsin,OVCAR-4,-2.2222222222222223
Quinacrine hydrochloride,Vinblastine sulfate (hydrate),SF-268,-2.1111111111111107
Romidepsin,Nilotinib,NCI-H322M,-40.888888888888886
Tamoxifen citrate,Tretinoin,HT29,2.1111111111111107
Vinblastine sulfate (hydrate),Paclitaxel,MDA-MB-231/ATCC,-15.555555555555555
Vinblastine sulfate (hydrate),Imatinib mesylate,UO-31,-3.0
Sorafenib tosylate,Dasatinib,SK-MEL-28,-1.1111111111111112
Docetaxel,Vinblastine sulfate (hydrate),A549/ATCC,-3.0
Mitotane,Cladribine,OVCAR-3,-3.2222222222222223
